OBJECTID,RANK_ORDER,HAMILTON_TOP_ETHNICITIES,HAMILTON_ETHNICITY_COUNT,HAMILTON_ETHNICITY_PERCENT,WARD_1_TOP_ETHNICITIES,WARD_1_ETHNICITY_COUNT,WARD_1_ETHNICITY_PERCENT,WARD_2_TOP_ETHNICITIES,WARD_2_ETHNICITY_COUNT,WARD_2_ETHNICITY_PERCENT,WARD_3_TOP_ETHNICITIES,WARD_3_ETHNICITY_COUNT,WARD_3_ETHNICITY_PERCENT,WARD_4_TOP_ETHNICITIES,WARD_4_ETHNICITY_COUNT,WARD_4_ETHNICITY_PERCENT,WARD_5_TOP_ETHNICITIES,WARD_5_ETHNICITY_COUNT,WARD_5_ETHNICITY_PERCENT,WARD_6_TOP_ETHNICITIES,WARD_6_ETHNICITY_COUNT,WARD_6_ETHNICITY_PERCENT,WARD_7_TOP_ETHNICITIES,WARD_7_ETHNICITY_COUNT,WARD_7_ETHNICITY_PERCENT,WARD_8_TOP_ETHNICITIES,WARD_8_ETHNICITY_COUNT,WARD_8_ETHNICITY_PERCENT,WARD_9_TOP_ETHNICITIES,WARD_9_ETHNICITY_COUNT,WARD_9_ETHNICITY_PERCENT,WARD_10_TOP_ETHNICITIES,WARD_10_ETHNICITY_COUNT,WARD_10_ETHNICITY_PERCENT,WARD_11_TOP_ETHNICITIES,WARD_11_ETHNICITY_COUNT,WARD_11_ETHNICITY_PERCENT,WARD_12_TOP_ETHNICITIES,WARD_12_ETHNICITY_COUNT,WARD_12_ETHNICITY_PERCENT,WARD_13_TOP_ETHNICITIES,WARD_13_ETHNICITY_COUNT,WARD_13_ETHNICITY_PERCENT,WARD_14_TOP_ETHNICITIES,WARD_14_ETHNICITY_COUNT,WARD_14_ETHNICITY_PERCENT,WARD_15_TOP_ETHNICITIES,WARD_15_ETHNICITY_COUNT,WARD_15_ETHNICITY_PERCENT
1,1,English,130710,24.8,English,8160,28.2,English,6590,20.4,Canadian,10865,27.2,Canadian,12845,33.2,Canadian,8755,21,English,9710,25.2,English,11720,25.2,English,7310,21.4,Canadian,6400,22.4,Italian,8155,22.2,English,7520,29.7,English,10810,25.6,English,12540,36.3,English,7040,21.5,English,8770,32.2
2,2,Canadian,124940,23.7,Scottish,6360,22,Canadian,6310,19.5,English,9650,24.2,English,10675,27.6,English,8015,19.3,Canadian,9460,24.6,Canadian,11320,24.3,Canadian,6975,20.4,English,5575,19.6,Canadian,6985,19,Canadian,6955,27.4,Scottish,8455,20,Canadian,9125,26.4,Canadian,6425,19.6,Canadian,8380,30.8
3,3,Scottish,98765,18.7,Irish,6280,21.7,Scottish,5095,15.8,Irish,7970,20,Scottish,8130,21,Scottish,5970,14.3,Scottish,7445,19.4,Scottish,8955,19.3,Scottish,5740,16.8,Italian,4480,15.7,English,6620,18,Scottish,5115,20.2,Canadian,8395,19.9,Scottish,8425,24.4,Scottish,5475,16.7,Scottish,6835,25.1
4,4,Irish,87830,16.6,Canadian,5740,19.8,Irish,4930,15.2,Scottish,7715,19.3,Irish,7845,20.3,Irish,5105,12.3,Irish,6720,17.5,Irish,6985,15,Italian,5020,14.7,Scottish,4415,15.5,Scottish,4630,12.6,Irish,4425,17.5,Irish,7095,16.8,Irish,7495,21.7,Irish,4975,15.2,Irish,5600,20.6
5,5,Italian,62340,11.8,German,3610,12.5,French,2715,8.4,French,4730,11.9,French,4025,10.4,Italian,4950,11.9,Italian,5170,13.4,Italian,4680,10.1,Irish,4595,13.5,Irish,3510,12.3,Irish,4295,11.7,Italian,3720,14.7,Italian,5480,13,German,4885,14.1,Italian,4975,15.2,German,3415,12.5
6,6,German,50405,9.5,French,2535,8.8,German,2695,8.3,German,4000,10,German,3460,9,German,2925,7,German,3500,9.1,German,4400,9.5,German,2980,8.7,Polish,2230,7.8,East Indian,2605,7.1,German,2875,11.3,German,4325,10.2,Dutch,3120,9,German,2690,8.2,French,2675,9.8
7,7,French,43625,8.3,Italian,2160,7.5,Italian,2340,7.2,Italian,3215,8.1,Italian,3360,8.7,French,2920,7,French,3155,8.2,French,3655,7.9,French,2405,7,German,2190,7.7,Polish,2575,7,French,2170,8.6,Dutch,3795,9,French,3020,8.7,French,2535,7.7,Dutch,2555,9.4
8,8,Polish,28440,5.4,Chinese,1840,6.4,Chinese,1580,4.9,First Nations (North American Indian),2740,6.9,First Nations (North American Indian),2055,5.3,Polish,2390,5.7,Polish,1870,4.9,Polish,2285,4.9,Dutch,1775,5.2,French,2060,7.2,German,2445,6.7,Dutch,1965,7.8,French,2690,6.4,Italian,2365,6.8,Dutch,1805,5.5,Italian,2260,8.3
9,9,Dutch,28400,5.4,Dutch,1655,5.7,Portuguese,1485,4.6,Portuguese,2180,5.5,Polish,1970,5.1,Serbian,2295,5.5,Dutch,1575,4.1,Dutch,2110,4.5,Polish,1485,4.4,East Indian,1650,5.8,French,2335,6.4,Polish,1310,5.2,Polish,2255,5.3,Polish,2305,6.7,Polish,1545,4.7,Ukrainian,1450,5.3
10,10,Ukrainian,18990,3.6,Polish,1525,5.3,Polish,1300,4,Dutch,2020,5.1,Dutch,1510,3.9,East Indian,2040,4.9,Ukrainian,1300,3.4,Filipino,1840,4,Portuguese,1350,4,Croatian,1140,4,Croatian,2200,6,Portuguese,1025,4,Chinese,1690,4,Ukrainian,1405,4.1,Portuguese,1265,3.9,Polish,1435,5.3
11,11,Portuguese,16225,3.1,Ukrainian,985,3.4,Dutch,1270,3.9,Polish,1965,4.9,Ukrainian,1460,3.8,Croatian,1970,4.7,Filipino,1090,2.8,Portuguese,1460,3.1,Chinese,1225,3.6,Ukrainian,965,3.4,Ukrainian,1610,4.4,Ukrainian,935,3.7,Ukrainian,1480,3.5,Welsh,875,2.5,Ukrainian,1165,3.6,Welsh,705,2.6
12,12,East Indian,15790,3,East Indian,850,2.9,First Nations (North American Indian),1175,3.6,Ukrainian,1345,3.4,Portuguese,1125,2.9,Ukrainian,1395,3.4,Portuguese,1000,2.6,Ukrainian,1410,3,East Indian,1205,3.5,Portuguese,960,3.4,Serbian,1525,4.1,Hungarian,660,2.6,East Indian,1210,2.9,Russian,855,2.5,East Indian,1125,3.4,Hungarian,670,2.5
13,13,First Nations (North American Indian),14290,2.7,Russian,745,2.6,East Indian,1075,3.3,Jamaican,1030,2.6,Hungarian,815,2.1,Dutch,1190,2.9,First Nations (North American Indian),990,2.6,First Nations (North American Indian),1225,2.6,Ukrainian,1065,3.1,Dutch,930,3.3,Dutch,1125,3.1,Croatian,535,2.1,Hungarian,1015,2.4,Hungarian,805,2.3,Chinese,1095,3.3,American,610,2.2
14,14,Chinese,12560,2.4,Welsh,705,2.4,Ukrainian,1020,3.2,Chinese,775,1.9,Welsh,810,2.1,First Nations (North American Indian),1050,2.5,Hungarian,955,2.5,Chinese,1125,2.4,Filipino,1060,3.1,Serbian,865,3,Portuguese,935,2.5,Welsh,490,1.9,Portuguese,1000,2.4,First Nations (North American Indian),725,2.1,Hungarian,795,2.4,Portuguese,580,2.1
15,15,Hungarian,11220,2.1,Portuguese,560,1.9,Filipino,795,2.5,Hungarian,775,1.9,Croatian,680,1.8,Bosnian,890,2.1,Jamaican,705,1.8,Welsh,1060,2.3,First Nations (North American Indian),735,2.2,First Nations (North American Indian),525,1.8,Hungarian,640,1.7,East Indian,435,1.7,Welsh,910,2.2,East Indian,570,1.7,First Nations (North American Indian),660,2,East Indian,570,2.1
16,16,Croatian,10360,2,First Nations (North American Indian),545,1.9,Hungarian,690,2.1,Welsh,765,1.9,Jamaican,485,1.3,Pakistani,880,2.1,East Indian,695,1.8,Jamaican,1035,2.2,Hungarian,715,2.1,Hungarian,515,1.8,First Nations (North American Indian),590,1.6,First Nations (North American Indian),390,1.5,Croatian,730,1.7,Chinese,550,1.6,Filipino,640,2,First Nations (North American Indian),425,1.6
17,17,Welsh,9970,1.9,Hungarian,465,1.6,Jamaican,610,1.9,Filipino,650,1.6,Métis,425,1.1,Portuguese,815,2,Welsh,595,1.5,East Indian,990,2.1,Jamaican,605,1.8,Pakistani,505,1.8,Welsh,535,1.5,Greek,275,1.1,Russian,705,1.7,American,505,1.5,Welsh,540,1.6,Croatian,390,1.4
18,18,Filipino,8815,1.7,Spanish,355,1.2,Welsh,585,1.8,Vietnamese,585,1.5,American,390,1,Hungarian,800,1.9,Spanish,525,1.4,Hungarian,905,1.9,Iraqi,535,1.6,Filipino,470,1.6,Bosnian,445,1.2,Serbian,265,1,American,520,1.2,Portuguese,485,1.4,Jamaican,535,1.6,Chinese,365,1.3
19,19,Serbian,7585,1.4,Jewish,345,1.2,Spanish,580,1.8,Spanish,545,1.4,Serbian,380,1,Cambodian (Khmer),610,1.5,Croatian,520,1.4,Spanish,705,1.5,Welsh,525,1.5,Chinese,445,1.6,Greek,430,1.2,American,265,1,Greek,510,1.2,Austrian,435,1.3,Palestinian,470,1.4,Russian,315,1.2
20,20,Jamaican,7460,1.4,Greek,340,1.2,Vietnamese,510,1.6,American,445,1.1,East Indian,365,0.9,Jamaican,595,1.4,Iraqi,465,1.2,Assyrian,700,1.5,Spanish,480,1.4,Jamaican,420,1.5,Spanish,425,1.2,Romanian,225,0.9,Spanish,480,1.1,Romanian,340,1,Spanish,465,1.4,Greek,285,1
